Record_Number,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,FICO,Status
125,4600,13.99,36,1,157.2,4600,14.26,677,0
126,6400,7.4,36,4,198.78,6400,0,772,1
127,4800,10,36,3,154.89,4800,23.37,727,1
128,6000,8.88,36,6,190.47,6000,5,717,1
129,11200,7.88,36,1,350.34,11200,19.15,737,0
130,3500,13.67,36,5,119.07,3500,17.74,692,1
131,8400,17.93,60,4,212.99,8400,4.2,667,0
132,25000,10.99,36,1,818.38,25000,14.48,752,1
133,25000,15.33,36,1,870.71,25000,18.5,692,0
134,14000,16.82,60,5,346.59,14000,14.05,682,0
135,32250,19.42,60,1,844.06,32250,20.99,702,1
136,8400,6.62,36,2,257.92,8400,24.57,742,0
137,19000,17.27,60,11,474.97,19000,17.32,712,1
138,18000,14.11,36,1,616.12,18000,14.49,692,1
139,15000,15.05,36,3,520.37,15000,11.38,677,0
140,6000,6.62,36,1,184.23,6000,6.05,792,1
141,12000,18.49,36,2,436.79,12000,22.14,662,0
142,8000,12.21,36,4,266.52,8000,0.07,722,1
143,15000,10.37,36,1,486.62,15000,21.79,707,0
144,15000,13.16,36,1,506.56,15000,11.67,687,0
145,4000,12.72,36,1,134.24,4000,3.98,667,1
146,14000,11.11,36,1,459.08,14000,14.26,687,1
147,20000,18.25,60,1,510.6,20000,18.12,692,0
148,26000,19.91,60,3,687.54,26000,21.45,697,0
149,11100,14.65,36,1,382.89,11100,22.66,682,0
150,7000,10.65,36,1,228.02,7000,12.26,717,0
151,2000,9.62,36,1,64.18,2000,10.39,697,1
152,13000,10.75,36,5,424.07,13000,4.47,727,1
153,9000,15.8,36,1,315.53,9000,23.95,677,0
154,4000,13.48,36,1,135.7,4000,22.6,672,1
155,6500,9.38,36,1,207.85,6500,13.42,742,1
156,3200,10.37,36,9,103.82,3200,18,702,0
157,1000,17.49,36,11,35.9,1000,20.4,682,0
158,3250,8.94,36,14,103.26,3250,6.13,747,0
159,25000,20.77,60,1,428.77,15925,9.5,667,0
160,12000,13.22,36,1,405.61,12000,3.7,767,1
161,7600,12.84,36,7,255.5,7600,0,757,0
162,21000,15.58,60,1,506.01,21000,4.93,707,0
163,10000,12.84,36,1,336.18,10000,19.49,692,1
164,33600,14.65,36,1,1159.01,33600,12.27,717,1
165,12000,11.71,60,5,265.18,12000,8.59,727,1
166,20000,11.48,36,1,659.37,20000,7.23,767,1
167,25000,16.08,36,4,879.92,25000,6.4,667,0
168,35000,22.35,60,1,973.64,35000,15.84,662,0
169,12000,16.45,60,1,294.7,12000,18.64,677,0
170,6000,7.74,36,8,187.32,6000,16.76,792,1
171,7200,8.07,36,1,225.86,7200,17,762,0
172,4000,9.32,36,1,127.79,4000,17.82,747,0
173,11000,12.98,60,4,250.18,11000,13.98,727,0
174,12375,15.31,36,1,430.87,12375,11.95,677,1
175,20000,8.88,36,14,385.69,12150,7.96,732,0
176,16000,15.81,60,1,387.48,16000,15.98,717,0
177,5000,10.39,36,14,134.67,4150,5.91,697,0
178,8875,12.42,36,11,296.57,8875,5.24,697,0
179,1600,10.83,36,14,52.26,1600,5.36,702,1
180,15000,13.98,36,1,512.52,15000,16.67,687,0
181,10000,12.73,36,1,335.67,10000,22.21,697,1
182,5000,13.23,36,14,169.03,5000,6.2,682,0
183,17500,14.22,36,1,599.99,17500,3.86,682,1
184,7500,9.99,36,4,241.97,7500,9.62,712,0
185,3800,10.65,36,6,123.78,3800,13.6,702,1
186,4200,14.26,36,14,144.09,4200,12.11,667,0
187,9600,10,60,2,203.98,9600,27.66,747,1
188,16500,12.18,36,2,549.45,16500,16.06,717,1
189,10500,14.65,36,1,362.19,10500,22.1,677,0
190,14400,7.14,36,1,445.56,14400,4.96,777,1
191,4500,12.98,36,4,151.58,4500,7.27,692,1
192,12000,11.58,36,3,396.17,12000,11.07,717,1
193,6400,14.65,36,3,220.77,6400,9.68,687,0
194,6000,8.9,36,2,190.52,6000,3.97,727,1
195,6400,11.54,36,12,211.17,6400,1.83,667,1
196,9000,11.03,36,2,294.78,9000,12.72,687,0
197,16000,17.99,60,4,406.21,16000,7.55,717,1
198,2500,6.39,36,4,76.51,2500,5.29,797,1
199,7750,16.7,36,3,275.14,7750,19.52,697,0
200,15000,10.62,36,1,488.4,15000,16.69,732,0
201,25000,9.51,36,3,800.95,25000,2.14,777,1
202,2400,10.25,36,1,77.73,2400,2.64,722,1
203,9000,7.49,36,2,279.92,9000,19.9,742,1
204,14400,11.49,60,2,316.63,14400,27.93,727,1
205,10500,11.11,60,1,228.88,10500,17.95,732,1
206,16750,11.49,60,1,255.06,11600,22.71,737,0
207,8500,14.35,36,1,291.96,8500,18,677,1
208,2500,5.42,36,6,75.4,2500,9.2,787,1
209,13400,10.36,60,1,287.09,13400,24.15,732,1
210,17600,18.64,60,3,453.08,17600,11.21,682,0
211,23500,10.25,36,3,476.87,14725,19.67,737,1
212,16000,11.86,60,1,354.79,16000,14.63,727,0
213,18500,17.8,36,1,666.97,18500,4.59,662,1
214,3500,15.31,36,1,121.87,3500,9.94,672,0
215,5500,7.51,36,14,171.11,5500,5.56,727,1
216,8000,10.75,36,4,260.97,8000,13.6,757,0
217,10000,7.51,36,1,311.1,10000,8.97,757,1
218,23000,13.67,60,14,531.25,23000,24.53,727,1
219,1000,14.09,36,2,34.23,1000,1.37,712,0
220,4000,10.08,36,5,129.22,4000,16.26,717,1
221,15000,13.85,36,10,511.56,15000,16.24,707,0
222,9000,6.03,36,13,273.92,9000,5.58,817,1
223,8000,11.11,36,6,262.33,8000,6.05,692,1
224,30000,17.49,60,1,558.85,22250,10.71,727,0
225,15000,12.18,36,2,499.5,15000,20.69,727,1
226,6300,20.99,60,1,170.41,6300,10.44,662,0
227,20000,17.74,36,1,720.42,20000,8.89,662,0
228,2500,14.59,36,1,86.17,2500,13.11,662,1
229,3300,13.23,60,14,75.48,3300,18.88,742,0
230,1825,12.68,36,4,61.22,1825,16.81,732,1
231,8325,10.99,36,1,272.52,8325,24.75,692,0
232,12400,6.62,36,1,380.73,12400,20.31,752,0
233,20000,12.99,36,1,673.79,20000,18.98,682,0
234,3600,12.69,36,14,120.77,3600,8.92,687,1
235,8000,7.51,36,1,248.88,8000,9.08,762,1
236,12000,10.36,36,1,389.24,12000,14.44,702,1
237,15000,10.62,36,2,488.4,15000,7.71,727,0
238,20000,13.8,60,1,463.3,20000,7.73,727,0
239,8000,7.49,36,14,248.82,8000,13.03,747,0
240,3500,12.61,36,4,117.28,3500,5.58,692,1
241,20000,13.92,36,2,682.74,20000,4.62,742,1
242,6000,14.65,36,1,206.97,6000,11.1,672,1
243,7000,12.87,36,1,235.44,7000,9.12,687,1
244,2500,9.91,36,14,80.57,2500,15.82,717,0
245,4000,7.4,36,6,124.24,4000,17.24,782,1
246,12000,10.25,36,2,388.62,12000,15.92,722,1
247,6300,13.85,36,14,214.86,6300,6.27,692,0
248,15350,12.12,36,2,510.72,15350,14.17,707,1
249,16000,12.99,60,3,363.97,16000,9.26,757,0
250,9600,16.32,60,1,235.09,9600,15.2,682,1
251,25000,18.09,36,14,904.88,25000,21.02,672,0
252,7200,13.99,36,5,246.05,7200,17.71,682,1
253,9000,7.9,36,14,281.62,9000,18.36,727,0
254,35000,20.99,60,1,946.68,35000,13.47,697,0
255,8450,11.14,36,1,277.21,8450,7.87,717,1
256,11000,13.11,36,1,371.2,11000,16.19,687,1
257,9800,7.14,36,13,303.23,9800,13.81,772,1
258,14000,13.79,36,4,477.06,14000,6.71,687,0
259,10500,13.23,60,12,240.15,10500,4.6,712,1
260,15000,15.58,36,1,524.26,15000,14.23,672,0
261,4800,14.72,36,6,165.74,4800,11.65,682,1
262,4000,7.62,36,1,124.65,4000,15.93,737,0
263,9000,19.36,60,1,235.26,9000,6.17,682,0
264,23500,21.97,60,1,648.65,23500,17.91,687,0
265,5000,10.75,60,10,108.09,5000,9.83,737,1
266,3500,7.9,36,1,109.52,3500,28.39,717,1
267,10500,13.92,36,3,358.44,10500,22.21,757,0
268,9500,13.57,36,10,322.71,9500,0.56,792,1
269,2600,17.49,60,1,65.31,2600,13.02,697,0
270,1500,10.25,36,14,48.58,1500,0.94,712,1
271,10000,13.16,36,14,337.71,10000,3.97,732,0
272,12000,7.29,36,14,372.12,12000,16.15,722,1
273,7200,9.91,36,2,232.02,7200,8.59,692,1
274,5000,14.22,36,4,171.43,5000,7.95,682,1
275,35000,12.42,60,1,668.67,29775,0.37,797,1
276,5000,11.49,36,5,164.86,5000,8.77,697,1
277,13000,7.88,36,2,406.65,13000,22.36,757,0
278,25000,12.73,60,1,388.42,17175,22.21,732,1
279,6400,16.29,36,14,225.93,6400,8.54,672,0
280,12000,6.03,36,1,365.23,12000,8.8,747,1
281,15000,10.75,36,1,489.31,15000,21.89,727,0
282,14400,10.62,36,1,468.86,14400,22.43,722,0
283,8000,15.95,60,1,194.34,8000,20.16,667,0
284,4400,13.16,36,1,148.59,4400,6.69,707,0
285,1000,13.57,36,14,33.97,1000,14,682,0
286,5000,11.36,36,1,164.56,5000,6.51,687,1
287,10000,13.55,36,3,339.6,10000,3.35,662,0
288,22000,16.82,60,3,378.77,15300,18.04,697,0
289,5000,6.03,36,2,152.18,5000,7.35,762,1
290,5000,16.77,36,1,177.7,5000,12.87,662,1
291,20500,19.04,60,1,532.24,20500,18.63,672,0
292,6000,6.03,36,1,182.62,6000,5.34,792,1
293,7000,7.49,36,2,217.72,7000,20.53,707,1
294,9500,11.26,36,6,312.21,9500,3.73,747,1
295,7000,14.96,36,1,242.53,7000,22.49,667,1
296,11175,14.96,36,1,387.17,11175,20.79,667,1
297,12000,19.29,60,1,313.21,12000,12.39,672,0
298,5000,11.36,36,1,164.55,5000,0.08,732,1
299,4000,13.11,36,1,134.99,4000,22.54,677,1
300,12875,12.53,36,12,430.88,12875,14.9,712,0
301,10000,20.3,36,4,373.17,10000,1.68,682,0
302,4375,16.4,36,1,154.68,4375,21.34,667,0
303,35000,17.51,60,1,879.47,35000,15.04,712,0
304,4000,6.76,36,14,123.07,4000,1.45,787,1
305,5500,12.73,36,14,184.62,5500,16.8,692,0
306,7000,13.61,36,14,237.92,7000,17.75,682,1
307,5600,9.25,36,6,178.74,5600,6,762,1
308,16000,11.54,36,1,527.93,16000,12.16,682,0
309,18000,17.58,36,2,646.96,18000,14.59,662,1
310,19000,13.55,36,1,645.24,19000,1.67,677,1
311,8500,14.65,36,5,293.21,8500,16.12,667,1
312,13600,22.48,60,1,379.34,13600,14.28,662,0
313,7500,11.59,36,2,247.65,7500,9.46,687,1
314,8400,12.87,36,5,282.52,8400,14.99,687,0
315,1600,15.23,36,1,55.65,1600,17.49,672,0
316,8875,7.9,36,2,277.71,8875,17.53,732,1
317,3500,6.99,36,1,108.06,3500,25,737,1
318,8000,14.46,60,4,188.06,8000,2,692,0
319,5000,15.23,36,3,173.9,5000,22.87,662,0
320,20000,11.71,36,2,661.52,20000,18.2,702,0
321,7800,13.79,36,1,265.79,7800,21.18,672,0
322,15000,9.63,36,5,481.42,15000,12.19,772,0
323,11400,18.79,60,3,294.41,11400,17.91,692,0
324,21000,17.51,60,1,527.69,21000,12.58,677,0
325,11000,7.88,36,2,344.09,11000,14.62,747,1
326,8000,6.62,36,4,245.63,8000,19.41,747,1
327,23800,8.9,36,5,755.73,23800,17.91,742,0
328,24000,18.64,60,1,617.83,24000,7.68,692,1
329,9750,10.99,36,1,319.16,9750,11.73,707,1
330,4000,14.91,36,5,138.49,4000,16.17,672,1
331,6000,15.31,36,1,208.9,6000,14.7,682,1
332,10000,7.88,36,8,312.82,10000,18.88,737,1
333,9500,9.76,36,2,305.47,9500,4.8,717,1
334,2400,10.65,36,6,78.18,2400,20.59,702,0
335,6725,6.99,36,1,207.62,6725,3.73,752,0
336,20000,18.25,60,1,510.6,20000,9.26,682,0
337,9000,9.64,36,2,288.89,9000,10.36,702,0
338,16000,17.88,60,1,405.26,16000,13.71,687,0
339,8000,15.21,36,5,278.15,8000,9.6,667,0
340,12000,18.79,60,1,309.91,12000,12.33,672,0
341,23500,15.33,36,1,647.79,18600,24.46,682,0
342,3600,14.33,36,8,123.62,3600,10.89,677,1
343,3900,14.79,36,5,134.8,3900,5.88,692,1
344,21000,16.45,36,14,742.93,21000,9.46,692,0
345,3500,6.17,36,6,106.75,3500,6.55,762,1
346,12800,12.73,36,2,429.65,12800,12.3,712,1
347,12000,20.62,60,10,322.09,12000,1.15,677,0
348,14900,13.67,36,5,506.87,14900,12.93,692,1
349,11000,13.11,36,1,371.2,11000,14.58,687,1
350,24000,14.65,60,1,566.56,24000,21.85,747,0
351,15000,10.37,36,2,486.62,15000,26.93,732,1
352,15000,13.16,36,2,506.56,15000,18.87,727,1
353,6150,17.99,36,1,222.31,6150,6.18,662,0
354,15000,17.93,60,2,380.34,15000,19.72,692,1
355,7500,13.79,36,3,255.57,7500,4.18,687,1
356,15000,16.32,60,5,367.33,15000,9.25,687,0
357,25000,19.22,60,2,651.55,25000,19.41,707,0
358,20000,18.39,60,1,512.13,20000,23.56,697,1
359,5000,12.23,36,3,166.63,5000,17.64,677,0
360,12000,17.27,36,1,429.45,12000,15.26,667,0
361,10000,15.58,36,1,349.51,10000,6.83,662,0
362,20000,13.92,36,2,682.74,20000,14.99,742,0
363,2100,11.12,36,5,68.88,2100,9.42,692,1
364,9000,16.45,36,1,318.42,9000,5.34,662,0
365,10000,13.22,36,2,338.01,10000,14.57,687,1
366,15000,16.63,36,1,532.05,15000,7.93,672,1
367,15000,7.51,36,5,466.67,15000,24.29,767,1
368,10200,8.94,36,8,324.07,10200,0,757,1
369,7000,14.22,36,10,239.99,7000,7.04,672,1
370,12000,13.99,60,14,279.16,12000,0.35,767,0
371,6500,10.99,36,1,212.78,6500,16.92,692,1
372,24000,9.99,60,1,509.82,24000,12.65,722,0
373,12800,17.56,60,1,321.98,12800,17.28,667,0
374,2400,13.06,36,4,80.94,2400,9.13,687,0
375,20000,14.17,60,14,467.13,20000,10.24,747,1
376,8000,9.63,36,6,256.76,8000,7.56,737,1
377,6600,7.51,36,4,205.34,6600,15.92,742,1
378,3600,6.39,36,4,110.16,3600,12.54,792,1
379,15000,11.58,36,3,495.21,15000,9.27,727,0
380,14500,17.19,60,1,361.85,14500,24.39,672,0
381,4900,11.14,36,2,160.74,4900,24.38,712,1
382,7200,9.88,36,1,231.92,7200,21,717,1
383,20000,16.32,60,1,489.77,20000,14.19,692,0
384,17975,8.49,36,1,567.35,17975,17.16,742,1
385,20000,15.95,60,5,485.83,20000,4.39,707,1
386,1500,7.29,36,1,46.52,1500,1.76,742,0
387,2500,14.74,36,2,86.35,2500,6.93,662,0
388,12000,11.12,36,2,393.55,12000,6.98,732,1
389,23000,12.18,36,1,765.9,23000,12.34,732,1
390,11200,13.92,36,5,382.34,11200,11.9,682,0
391,6000,6.76,36,6,184.61,6000,21.1,792,1
392,6950,8.9,36,2,220.69,6950,15.98,702,1
393,6000,8,36,3,188.02,6000,12.62,762,1
394,11000,11.03,36,1,360.29,11000,6.82,697,0
395,8000,6.54,36,1,245.34,8000,5.31,727,1
396,6400,10.65,36,1,208.47,6400,7.09,707,1
397,9000,10.71,36,11,293.42,9000,11.69,697,1
398,6000,10.37,36,2,194.65,6000,23.8,702,0
399,20000,11.48,36,2,659.37,20000,5.72,757,1
400,6000,9.64,36,1,192.6,6000,2.87,697,1
401,27050,15.62,36,1,945.94,27050,24.38,707,1
402,10000,7.51,36,14,311.11,10000,7.17,757,1
403,14400,13.67,36,1,489.86,14400,12.42,672,0
404,2325,6.39,36,1,71.15,2325,11.96,782,1
405,9600,7.49,36,2,298.58,9600,7.32,732,1
406,12000,14.11,36,1,410.75,12000,13.73,682,1
407,10000,8.49,36,5,315.63,10000,0.83,762,1
408,9600,6.62,36,1,294.76,9600,3.82,762,1
409,7500,10.08,36,1,242.29,7500,2.93,707,0
410,35000,16.49,60,2,860.28,35000,26.51,722,0
411,17625,7.9,36,1,551.5,17625,11.13,737,0
412,25000,23.26,60,2,708.51,25000,24.86,667,0
413,8000,15.27,36,13,278.39,8000,6.77,682,0
414,10000,15.33,36,12,348.29,10000,4.23,667,1
415,6000,5.42,36,6,180.96,6000,5.74,772,1
416,12000,14.46,60,1,282.09,12000,2.37,742,0
417,3000,11.49,36,11,98.92,3000,21.97,692,1
418,12000,11.86,36,3,397.77,12000,15.87,747,0
419,25000,21.27,36,8,945.35,25000,1.44,662,0
420,12000,12.87,36,1,403.6,12000,21.68,737,0
421,5000,8.49,36,1,157.82,5000,22.53,722,1
422,20000,13.49,60,4,460.1,20000,5.28,747,0
423,5600,12.53,36,2,187.42,5600,14.42,682,1
424,6500,11.89,36,14,215.57,6500,8.47,702,1
425,4600,18.25,60,1,117.44,4600,23.71,682,0
426,12000,7.51,36,1,373.33,12000,2.43,752,1
427,9000,11.86,36,2,298.33,9000,19.86,697,0
428,30750,18.25,36,5,1115.55,30750,23.16,682,0
429,7000,15.31,36,1,243.73,7000,18.54,677,0
430,10000,12.61,36,1,335.07,10000,12.02,672,1
431,7500,11.12,60,5,163.52,7500,4.65,747,0
432,11650,11.99,36,1,386.9,11650,18,712,1
433,35000,20.99,60,1,946.68,35000,11.62,702,1
434,7000,17.77,36,6,252.26,7000,12.79,662,0
435,16800,12.53,36,1,562.24,16800,8.21,732,1
436,5500,11.86,60,1,121.96,5500,9.81,712,1
437,16750,20.11,36,3,623.4,16750,5.36,667,0
438,3000,12.87,36,1,100.9,3000,18.35,682,1
439,2250,8.49,36,5,71.02,2250,20.73,727,0
440,15250,11.89,36,3,505.76,15250,9.44,737,0
441,4300,7.9,36,1,134.55,4300,24.1,742,0
442,35000,9.91,36,5,1127.88,35000,1.97,787,1
443,16000,12.69,60,1,361.52,16000,6.05,742,0
444,8000,6.03,36,5,243.49,8000,2.98,752,1
445,3000,15.28,60,13,71.82,3000,1.23,707,1
446,25000,9.25,36,2,510.66,16000,20.15,772,0
447,10000,8.63,36,6,316.28,10000,8.94,732,1
448,10000,7.74,36,14,312.19,10000,3.56,787,1
449,26375,9.91,36,2,849.94,26375,17.33,727,1
450,5000,11.12,36,1,163.98,5000,16.88,702,1
451,26375,14.65,60,1,622.63,26375,16.54,732,1
452,20000,16.08,36,1,387.17,11000,19.96,662,0
453,25000,15.65,36,3,874.66,25000,9.01,737,0
454,10600,11.97,36,1,351.92,10600,14.9,682,0
455,7000,7.74,36,1,218.54,7000,17.81,752,1
456,15000,14.18,36,1,513.98,15000,21.49,702,1
457,7500,16.33,36,2,264.91,7500,10.8,667,0
458,10000,10.39,36,5,178.48,5500,18.46,717,0
459,9000,6.54,36,1,176.34,5750,4.77,747,0
460,8000,15.58,36,1,279.61,8000,22.25,662,0
461,25000,13.11,36,4,843.63,25000,8.42,747,0
462,18500,17.27,36,3,662.07,18500,21.75,697,0
463,18000,16.49,60,1,442.43,18000,13.2,707,0
464,25500,15.23,60,3,609.73,25500,20.13,747,0
465,5000,15.05,36,8,173.46,5000,11.48,672,1
466,7150,15.99,36,1,251.34,7150,23.81,672,0
467,20000,13.23,60,1,457.42,20000,18.27,732,0
468,10000,14.72,36,4,345.29,10000,8.63,697,1
469,1450,10.59,60,1,31.24,1450,29,727,1
470,25000,15.31,60,5,598.83,25000,12.14,722,0
471,10750,15.58,60,1,259.03,10750,23.7,687,1
472,13800,8.49,36,2,435.57,13800,14.22,732,1
473,10000,10.99,36,8,327.36,10000,3.4,737,1
474,6400,13.23,36,5,216.36,6400,16.16,692,1
475,4000,10.25,36,4,129.54,4000,4.2,727,1
476,7500,7.74,36,5,234.14,7500,3.08,797,1
477,9300,8.9,36,1,295.31,9300,3.65,722,1
478,6125,16.89,36,1,218.04,6125,19,672,0
479,6000,10.62,36,1,195.36,6000,13.99,707,0
480,3500,6.62,36,5,107.47,3500,0.76,797,1
481,10000,16.29,36,1,353.01,10000,14.01,667,0
482,13750,9.62,36,1,441.23,13750,23.91,707,0
483,20000,11.12,60,1,436.05,20000,10.33,777,1
484,9300,14.65,60,14,219.55,9300,14.52,732,0
485,14000,17.58,36,1,503.19,14000,21.93,662,1
486,22000,17.88,60,1,557.23,22000,19.9,702,0
487,6000,7.66,36,6,187.08,6000,14.64,727,0
488,20000,11.99,60,1,444.79,20000,25.71,772,1
489,7400,13.99,36,1,252.88,7400,13.6,687,0
490,8000,11.49,36,1,263.78,8000,6.78,707,1
491,8000,13.99,36,1,273.39,8000,33.95,677,0
492,30000,11.11,60,5,653.92,30000,0.08,812,1
493,30000,20.89,60,1,809.75,30000,24.14,682,0
